5/7 12:54:17.502  Wait Started -- FileData ID 625027
5/7 12:54:17.502  Wait Finished -- FileData ID 625027
5/7 12:54:17.502  Wait Started -- FileData ID 625028
5/7 12:54:17.518  Wait Finished -- FileData ID 625028
5/7 12:54:17.518  Wait Started -- FileData ID 625029
5/7 12:54:17.518  Wait Finished -- FileData ID 625029
5/7 12:54:17.518  Wait Started -- FileData ID 625030
5/7 12:54:17.518  Wait Finished -- FileData ID 625030
5/7 12:54:17.518  Wait Started -- FileData ID 625031
5/7 12:54:17.518  Wait Finished -- FileData ID 625031
5/7 12:54:17.518  Wait Started -- FileData ID 625032
5/7 12:54:17.518  Wait Finished -- FileData ID 625032
5/7 12:54:17.518  Wait Started -- FileData ID 984464
5/7 12:54:17.518  Wait Finished -- FileData ID 984464
5/7 12:54:17.518  Wait Started -- FileData ID 984465
5/7 12:54:17.518  Wait Finished -- FileData ID 984465
5/7 12:54:17.518  Wait Started -- FileData ID 984458
5/7 12:54:17.518  Wait Finished -- FileData ID 984458
5/7 12:54:17.518  Wait Started -- FileData ID 984457
5/7 12:54:17.518  Wait Finished -- FileData ID 984457
5/7 12:54:17.518  Wait Started -- FileData ID 984455
5/7 12:54:17.518  Wait Finished -- FileData ID 984455
5/7 12:54:17.518  Wait Started -- FileData ID 625039
5/7 12:54:17.518  Wait Finished -- FileData ID 625039
5/7 12:54:17.518  Wait Started -- FileData ID 625042
5/7 12:54:17.518  Wait Finished -- FileData ID 625042
5/7 12:54:17.518  Wait Started -- FileData ID 625043
5/7 12:54:17.533  Wait Finished -- FileData ID 625043
5/7 12:54:17.533  Wait Started -- FileData ID 625041
5/7 12:54:17.533  Wait Finished -- FileData ID 625041
5/7 12:54:17.533  Wait Started -- FileData ID 1127975
5/7 12:54:17.533  Wait Finished -- FileData ID 1127975
5/7 12:54:17.533  Wait Started -- FileData ID 625048
5/7 12:54:17.533  Wait Finished -- FileData ID 625048
5/7 12:54:17.533  Wait Started -- FileData ID 1127974
5/7 12:54:17.533  Wait Finished -- FileData ID 1127974
5/7 12:54:17.552  Streaming failed -- FileData ID 10882 [Invalid file handle]. Errorstack: 
 Can't find file in build manifest


5/7 12:54:19.598  Wait Started -- FileData ID 623712
5/7 12:54:19.598  Wait Finished -- FileData ID 623712
5/7 12:54:19.598  Wait Started -- FileData ID 623713
5/7 12:54:19.598  Wait Finished -- FileData ID 623713
5/7 12:54:19.598  Wait Started -- FileData ID 1063358
5/7 12:54:19.598  Wait Finished -- FileData ID 1063358
5/7 12:54:19.612  Wait Started -- FileData ID 650623
5/7 12:54:19.612  Wait Finished -- FileData ID 650623
5/7 12:54:19.612  Wait Started -- FileData ID 1063366
5/7 12:54:19.612  Wait Finished -- FileData ID 1063366
5/7 12:54:19.612  Wait Started -- FileData ID 1063373
5/7 12:54:19.612  Wait Finished -- FileData ID 1063373
5/7 12:54:19.612  Wait Started -- FileData ID 650625
5/7 12:54:19.612  Wait Finished -- FileData ID 650625
5/7 12:54:19.612  Wait Started -- FileData ID 1063359
5/7 12:54:19.612  Wait Finished -- FileData ID 1063359
5/7 12:54:19.612  Wait Started -- FileData ID 650626
5/7 12:54:19.612  Wait Finished -- FileData ID 650626
5/7 12:54:19.612  Wait Started -- FileData ID 1063374
5/7 12:54:19.612  Wait Finished -- FileData ID 1063374
5/7 12:54:19.612  Wait Started -- FileData ID 1063375
5/7 12:54:19.612  Wait Finished -- FileData ID 1063375
5/7 12:54:19.612  Wait Started -- FileData ID 650628
5/7 12:54:19.612  Wait Finished -- FileData ID 650628
5/7 12:54:19.612  Wait Started -- FileData ID 650629
5/7 12:54:19.627  Wait Finished -- FileData ID 650629
5/7 12:54:19.627  Wait Started -- FileData ID 1063377
5/7 12:54:19.627  Wait Finished -- FileData ID 1063377
5/7 12:54:19.627  Wait Started -- FileData ID 651053
5/7 12:54:19.627  Wait Finished -- FileData ID 651053
5/7 12:54:19.627  Wait Started -- FileData ID 1063360
5/7 12:54:19.627  Wait Finished -- FileData ID 1063360
5/7 12:54:19.627  Wait Started -- FileData ID 1063365
5/7 12:54:19.627  Wait Finished -- FileData ID 1063365
5/7 12:54:19.627  Wait Started -- FileData ID 1063364
5/7 12:54:19.627  Wait Finished -- FileData ID 1063364
5/7 12:54:19.627  Wait Started -- FileData ID 650624
5/7 12:54:19.627  Wait Finished -- FileData ID 650624
5/7 12:54:19.627  Wait Started -- FileData ID 1063363
5/7 12:54:19.627  Wait Finished -- FileData ID 1063363
5/7 12:54:19.627  Wait Started -- FileData ID 1063362
5/7 12:54:19.627  Wait Finished -- FileData ID 1063362
5/7 12:54:19.627  Wait Started -- FileData ID 1063361
5/7 12:54:19.627  Wait Finished -- FileData ID 1063361
5/7 12:54:19.627  Wait Started -- FileData ID 1063367
5/7 12:54:19.627  Wait Finished -- FileData ID 1063367
5/7 12:54:19.627  Wait Started -- FileData ID 1063368
5/7 12:54:19.627  Wait Finished -- FileData ID 1063368
5/7 12:54:19.627  Wait Started -- FileData ID 1063376
5/7 12:54:19.627  Wait Finished -- FileData ID 1063376
5/7 12:54:19.627  Wait Started -- FileData ID 1063385
5/7 12:54:19.627  Wait Finished -- FileData ID 1063385
5/7 12:54:19.627  Wait Started -- FileData ID 1063378
5/7 12:54:19.644  Wait Finished -- FileData ID 1063378
5/7 12:54:19.644  Wait Started -- FileData ID 651049
5/7 12:54:19.644  Wait Finished -- FileData ID 651049
5/7 12:54:19.644  Wait Started -- FileData ID 1063382
5/7 12:54:19.644  Wait Finished -- FileData ID 1063382
5/7 12:54:19.644  Wait Started -- FileData ID 1063381
5/7 12:54:19.644  Wait Finished -- FileData ID 1063381
5/7 12:54:19.644  Wait Started -- FileData ID 1063379
5/7 12:54:19.644  Wait Finished -- FileData ID 1063379
5/7 12:54:19.644  Wait Started -- FileData ID 650627
5/7 12:54:19.644  Wait Finished -- FileData ID 650627
5/7 12:54:19.644  Wait Started -- FileData ID 1063383
5/7 12:54:19.644  Wait Finished -- FileData ID 1063383
5/7 12:54:19.644  Wait Started -- FileData ID 1063372
5/7 12:54:19.644  Wait Finished -- FileData ID 1063372
5/7 12:54:19.644  Wait Started -- FileData ID 1063370
5/7 12:54:19.644  Wait Finished -- FileData ID 1063370
5/7 12:54:19.644  Wait Started -- FileData ID 1063371
5/7 12:54:19.644  Wait Finished -- FileData ID 1063371
5/7 12:54:19.644  Wait Started -- FileData ID 1063369
5/7 12:54:19.644  Wait Finished -- FileData ID 1063369
5/7 12:54:31.039  Wait Started -- FileData ID 623714
5/7 12:54:31.039  Wait Finished -- FileData ID 623714
5/7 12:54:31.039  Wait Started -- FileData ID 623715
5/7 12:54:31.039  Wait Finished -- FileData ID 623715
5/7 12:54:31.039  Wait Started -- FileData ID 984454
5/7 12:54:31.039  Wait Finished -- FileData ID 984454
5/7 12:54:31.039  Wait Started -- FileData ID 984461
5/7 12:54:31.039  Wait Finished -- FileData ID 984461
5/7 12:54:31.039  Wait Started -- FileData ID 984462
